𱊜	𪈼
𰾭	鑀
𰾄	鋂
𰶎	譅
𰰨	菕
𰬸	繐
𬺓	齼
𬺈	齮
𬹼	齘
𬸯	鷿
𬸪	鷭
𬸦	鷟
𬸣	鶱
𬸚	鸑
𬸘	鶠
𬷕	鵏
𬶮	鱚
𬶭	鰶
𬶨	鱀
𬶠	鰊
𬶟	鯻
𬶐	鮡
𬶏	鮠
𬶍	鮀
𬶋	鮈
𬴊	驎
𬴃	騞
𬴂	騑
𬳿	駼
𬳽	駪
𬳶	駉
𬳵	駓
𬱟	頠
𬱖	頔
𬯎	隤
𬯀	隮
𬮿	隑
𬮱	闉
𬭼	鐩
𬭸	鏻
𬭶	𨭆
𬭳	𨭎
𬭯	䥕
𬭭	鏚
𬭬	鏏
𬭩	鎓
𬭤	鍭
𬭛	𨨏
𬭚	錞
𬭎	鋐
𬭊	𨧀
𬭁	鉧
𬬿	鉊
𬬻	鑪
𬬹	鉮
𬬸	鉥
𬬱	釿
𬬮	鋹
𬬭	錀
𬬩	釴
𬪩	醲
𬩽	鄩
𬨎	輶
𬨂	軝
𬤝	譓
𬤊	諟
𬤇	諲
𬣳	詪
𬣡	諓
𬣞	詝
𬣙	訏
𬟽	蝀
𬟁	虉
𬞟	蘋
𬜯	䓣
𬜬	蔄
𬙋	纕
𬙊	纆
𬙂	縯
𬘯	綧
𬘭	綝
𬘬	綪
𬘫	綄
𬘩	綎
𬘡	絪
𬘘	紞
𬘓	紃
𬕂	篢
𬒗	𥗽
𬒈	礐
𬍤	璕
𬍡	璗
𬍛	瓅
𬊤	燀
𬊈	燖
𬉼	熰
𬇹	漍
𬇙	浿
𬇕	澫
𬃊	櫍
𬂩	梜
𬀪	晛
𬀩	暐
𫸩	彄
𫷷	廞
𫶇	嵽
𫵷	㠣
𫰛	娙
𫮃	墠
𫭼	𡑍
𫭢	埨
𫭟	塸
𫬐	㘔
𫫇	噁
𫧮	𪋿
𫧃	𣍐
𫢸	僤
𫠜	齯
𫠖	𩿅
𫠒	鱆
𫠑	䱸
𫠐	魽
𫠏	𩵦
𫠌	𩦠
𫠋	騼
𫠊	䮄
𫠈	䫾
𫠇	𩖰
𫠆	頍
𫠅	韚
𫠂	閝
𫠁	鑉
𫠀	䥄
𫟿	鎈
𫟾	𨩰
𫟽	𨧰
𫟼	鐽
𫟻	銂
𫟺	䤤
𫟹	鉷
𫟸	鉽
𫟷	鉝
𫟶	銏
𫟵	鈗
𫟴	鈖
𫟳	釲
𫟲	釚
𫟬	𨟊
𫟫	𨞺
𫟦	䡵
𫟥	䡩
𫟤	䡐
𫟢	䜖
𫟡	誴
𫟠	譂
𫟟	詊
𫟞	訨
𫟕	䕤
𫟑	䖅
𫟇	𦆲
𫟆	緟
𫟅	綡
𫟄	綋
𫟃	絍
𫞷	𥢶
𫞩	璊
𫞨	璼
𫞧	𤩂
𫞦	璾
𫞥	珼
𫞣	㹽
𫞢	𤛱
𫞡	爃
𫞠	爧
𫞝	灍
𫞛	㶆
𫞚	澬
𫞗	潣
𫞅	𦠅
𫝵	嶹
𫝮	孄
𫝭	孆
𫝬	嬇
𫝫	婡
𫝪	𡟫
𫝩	嬦
𫝨	媈
𫝧	㜐
𫝦	㛝
𫝋	𠐊
𫝈	㑮
𫜳	䶲
𫜲	龓
𫜰	齾
𫜯	𪙏
𫜮	齴
𫜭	齭
𫜬	齰
𫜫	𫜦
𫜪	齩
𫜩	齧
𫜨	䶕
𫜟	𪓰
𫜙	䵴
𫜕	𪍠
𫜔	䴽
𫜓	𪌭
𫜒	䴱
