成功的男人后面必有一个奉献的女人	成功的男人後面必有一個奉獻的女人
善有善报恶有恶报若然不报时晨未到	善有善報惡有惡報若然不報時晨未到
生物技术与制药工业发展推动小组	生物技術與製藥工業發展推動小組
双江拉祜族佤族布朗族傣族自治县	雙江拉祜族佤族布朗族傣族自治縣
长江后浪催前浪一代新人换旧人	長江後浪催前浪一代新人換舊人
酒逢知己千锺少话不投机半句多	酒逢知己千鍾少話不投機半句多
濒危野生动植物种国际贸易公约	瀕危野生動植物種國際貿易公約
有缘千里来相会无缘对面不相逢	有緣千里來相會無緣對面不相逢
有意栽花花不发无心插柳柳成阴	有意栽花花不發無心插柳柳成陰
摇车儿里的爷爷拄拐棍儿的孙子	搖車兒裡的爺爺拄拐棍兒的孫子
在天愿做比翼鸟在地愿做连理枝	在天願做比翼鳥在地願做連理枝
先天下之忧而忧后天下之乐而乐	先天下之憂而憂后天下之樂而樂
但得一片橘皮吃且莫忘了洞庭湖	但得一片橘皮吃且莫忘了洞庭湖
每一个人都有美中不足的地方	每一個人都有美中不足的地方
斯里兰卡民主社会主义共和国	斯里蘭卡民主社會主義共和國
全国人民代表大会常务委员会	全國人民代表大會常務委員會
骨头里挣出来的钱才做得肉	骨頭裡掙出來的錢才做得肉
虚心使人进步骄傲使人落后	虛心使人進步驕傲使人落後
苏维埃社会主义共和国联邦	蘇維埃社會主義共和國聯邦
苏维埃社会主义共和国联盟	蘇維埃社會主義共和國聯盟
电机及电子学工程师联合会	電機及電子學工程師聯合會
明者视于无形聪者听于无声	明者視於無形聰者聽於無聲
政府机关开放系统互连总则	政府機關開放系統互連總則
捷克暨斯洛伐克联邦共和国	捷克暨斯洛伐克聯邦共和國
戏法人人会变巧妙各有不同	戲法人人會變巧妙各有不同
得黄金百斤不如得季布一诺	得黃金百斤不如得季布一諾
家丑不可外传流言切莫轻信	家醜不可外傳流言切莫輕信
实践是检验真理的唯一标准	實踐是檢驗真理的唯一標準
宁撞金钟一下不打破鼓三千	寧撞金鐘一下不打破鼓三千
奥林匹克运动会组织委员会	奧林匹克運動會組織委員會
天有不测风云人有旦夕祸福	天有不測風雲人有旦夕禍福
天下安注意相天下危注意将	天下安注意相天下危注意將
天下大势分久必合合久必分	天下大勢分久必合合久必分
大白日里借不出个干灯盏来	大白日裡借不出個乾燈盞來
只许州官放火不许百姓点灯	只許州官放火不許百姓點燈
前门不进师姑后门不进和尚	前門不進師姑後門不進和尚
你有千条妙计我有一定之规	你有千條妙計我有一定之規
黔西南布依族苗族自治州	黔西南布依族苗族自治州
阎罗王面前须没放回的鬼	閻羅王面前須沒放回的鬼
过了这个村儿没这个店儿	過了這個村兒沒這個店兒
西藏百万农奴解放纪念日	西藏百萬農奴解放紀念日
船载的金银填不满烟花债	船載的金銀填不滿煙花債
患难之交才是真正的朋友	患難之交才是真正的朋友
得了些颜色就开起染房来	得了些顏色就開起染房來
塔什库尔干塔吉克自治县	塔什庫爾干塔吉克自治縣
国际电影制片人协会联盟	國際電影製片人協會聯盟
国科会精密仪器发展中心	國科會精密儀器發展中心
国科会晶片设计制作中心	國科會晶片設計製作中心
国科会同步幅射研究中心	國科會同步幅射研究中心
国家食品药品监督管理局	國家食品藥品監督管理局
喀喇沁左翼蒙古族自治县	喀喇沁左翼蒙古族自治縣
吃亏的是乖占便宜的是呆	吃虧的是乖占便宜的是呆
可擦写可编程只读存储器	可擦寫可程式設計只讀儲存器
